TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
sg.edu.nus.comp.cs4218.impl.app.CpApplication,BRANCH,0.6097560975609756,41,22
sg.edu.nus.comp.cs4218.impl.app.CpApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6707936207876859,261,159
sg.edu.nus.comp.cs4218.impl.app.CpApplication,LINE;BRANCH;EXCEPTION,0.7124958235883728,128,92
sg.edu.nus.comp.cs4218.impl.app.CpApplication,LINE;BRANCH;EXCEPTION,0.5972268626795857,128,76
sg.edu.nus.comp.cs4218.impl.app.CpApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.7578450595248563,204,159
sg.edu.nus.comp.cs4218.impl.app.TeeApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.7931818181818182,124,105
sg.edu.nus.comp.cs4218.impl.util.StringUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.8068028151699551,155,141
sg.edu.nus.comp.cs4218.impl.app.SortApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.7654877369007804,500,392
sg.edu.nus.comp.cs4218.impl.app.CutApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.5941429763833652,236,139
sg.edu.nus.comp.cs4218.impl.app.CutApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.5859734584657253,232,129
sg.edu.nus.comp.cs4218.impl.app.CutApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.5925676339176118,239,142
sg.edu.nus.comp.cs4218.impl.app.CutApplication,LINE;BRANCH;EXCEPTION,0.6268222560460003,145,94
sg.edu.nus.comp.cs4218.impl.app.CutApplication,LINE;BRANCH,0.6809741248097412,118,80
sg.edu.nus.comp.cs4218.impl.app.CutApplication,BRANCH,0.6222222222222222,45,28
sg.edu.nus.comp.cs4218.impl.app.CutApplication,BRANCH;WEAKMUTATION,0.5584229390681004,138,74
sg.edu.nus.comp.cs4218.impl.app.UniqApplication,BRANCH;WEAKMUTATION,0.7990825688073395,144,115
sg.edu.nus.comp.cs4218.impl.app.UniqApplication,LINE;BRANCH,0.8193548387096774,97,78
sg.edu.nus.comp.cs4218.impl.app.UniqApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7446572001177849,278,213
sg.edu.nus.comp.cs4218.impl.app.EchoApplication,BRANCH,1.0,7,7
sg.edu.nus.comp.cs4218.impl.app.MvApplication,BRANCH,0.5365853658536586,41,20
sg.edu.nus.comp.cs4218.impl.app.LsApplication,BRANCH,0.8524590163934426,61,52
sg.edu.nus.comp.cs4218.impl.app.WcApplication,BRANCH,0.9393939393939394,66,62
sg.edu.nus.comp.cs4218.impl.app.args.MvArguments,BRANCH,0.9565217391304348,23,22
sg.edu.nus.comp.cs4218.impl.app.PasteApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.6715555781345255,334,230
sg.edu.nus.comp.cs4218.impl.app.SortApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6904019873532069,556,298
sg.edu.nus.comp.cs4218.impl.app.SortApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.5710496564561605,458,225
sg.edu.nus.comp.cs4218.impl.app.SortApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.7228580862828831,454,319
sg.edu.nus.comp.cs4218.impl.util.StringUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.830265009380863,287,270
sg.edu.nus.comp.cs4218.impl.app.SortApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION,0.5995506556075662,460,233
sg.edu.nus.comp.cs4218.impl.app.args.GrepArguments,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.87797022317699,227,208
sg.edu.nus.comp.cs4218.impl.app.CdApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7385618479880776,145,100
sg.edu.nus.comp.cs4218.impl.util.RegexArgument,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.715242078291433,332,226
sg.edu.nus.comp.cs4218.impl.app.GrepApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7246811603429251,943,616
